waktu,sensor_id,lokasi,pm25,pm10,suhu,kelembaban
2026-06-05 08:00:00,DB001,Jalan Tambang A,35.0,82.0,31.5,72.0
2026-06-05 08:05:00,DB001,Jalan Tambang A,38.0,91.0,31.8,71.0
2026-06-05 08:10:00,DB001,Jalan Tambang A,45.0,105.0,32.1,70.0
2026-06-05 08:15:00,DB001,Jalan Tambang A,52.0,118.0,32.5,69.0
2026-06-05 08:20:00,DB001,Jalan Tambang A,61.0,130.0,33.0,68.0
2026-06-05 08:25:00,DB001,Jalan Tambang A,58.0,125.0,32.8,68.0
2026-06-05 08:30:00,DB001,Jalan Tambang A,55.0,120.0,32.7,69.0
2026-06-05 08:35:00,DB001,Jalan Tambang A,49.0,112.0,32.5,70.0
2026-06-05 08:40:00,DB001,Jalan Tambang A,43.0,101.0,32.2,71.0
2026-06-05 08:45:00,DB001,Jalan Tambang A,39.0,95.0,32.0,72.0
2026-06-05 08:50:00,DB001,Jalan Tambang A,42.0,98.0,32.1,71.0
2026-06-05 08:55:00,DB001,Jalan Tambang A,47.0,110.0,32.4,70.0
2026-06-05 09:00:00,DB001,Jalan Tambang A,53.0,121.0,32.8,69.0
2026-06-05 09:05:00,DB001,Jalan Tambang A,60.0,135.0,33.1,68.0
2026-06-05 09:10:00,DB001,Jalan Tambang A,67.0,148.0,33.5,67.0
2026-06-05 09:15:00,DB001,Jalan Tambang A,72.0,155.0,33.8,66.0
2026-06-05 09:20:00,DB001,Jalan Tambang A,76.0,163.0,34.0,65.0
2026-06-05 09:25:00,DB001,Jalan Tambang A,70.0,150.0,33.7,66.0
2026-06-05 09:30:00,DB001,Jalan Tambang A,65.0,142.0,33.4,67.0
2026-06-05 09:35:00,DB001,Jalan Tambang A,58.0,130.0,33.0,68.0
2026-06-05 09:40:00,DB001,Jalan Tambang A,50.0,118.0,32.7,69.0
2026-06-05 09:45:00,DB001,Jalan Tambang A,46.0,108.0,32.4,70.0
2026-06-05 09:50:00,DB001,Jalan Tambang A,41.0,97.0,32.1,71.0
2026-06-05 09:55:00,DB001,Jalan Tambang A,38.0,89.0,31.9,72.0
2026-06-05 10:00:00,DB001,Jalan Tambang A,36.0,84.0,31.8,72.0
2026-06-05 10:05:00,DB001,Jalan Tambang A,35.427,78.589,32.446,74.709
2026-06-05 10:10:00,DB001,Jalan Tambang A,35.034,86.26,31.963,70.102
2026-06-05 10:15:00,DB001,Jalan Tambang A,44.97,101.417,33.229,72.178
