waktu,sensor_id,lokasi,pm25,pm10,suhu,kelembaban
2026-06-05 8:00:00,DB001,Jalan Tambang A,35,82,31.5,72
2026-06-05 8:05:00,DB001,Jalan Tambang A,38,91,31.8,71
2026-06-05 8:10:00,DB001,Jalan Tambang A,45,105,32.1,70
2026-06-05 8:15:00,DB001,Jalan Tambang A,52,118,32.5,69
2026-06-05 8:20:00,DB001,Jalan Tambang A,61,130,33,68
2026-06-05 8:25:00,DB001,Jalan Tambang A,58,125,32.8,68
2026-06-05 8:30:00,DB001,Jalan Tambang A,55,120,32.7,69
2026-06-05 8:35:00,DB001,Jalan Tambang A,49,112,32.5,70
2026-06-05 8:40:00,DB001,Jalan Tambang A,43,101,32.2,71
2026-06-05 8:45:00,DB001,Jalan Tambang A,39,95,32,72
2026-06-05 8:50:00,DB001,Jalan Tambang A,42,98,32.1,71
2026-06-05 8:55:00,DB001,Jalan Tambang A,47,110,32.4,70
2026-06-05 9:00:00,DB001,Jalan Tambang A,53,121,32.8,69
2026-06-05 9:05:00,DB001,Jalan Tambang A,60,135,33.1,68
2026-06-05 9:10:00,DB001,Jalan Tambang A,67,148,33.5,67
2026-06-05 9:15:00,DB001,Jalan Tambang A,72,155,33.8,66
2026-06-05 9:20:00,DB001,Jalan Tambang A,76,163,34,65
2026-06-05 9:25:00,DB001,Jalan Tambang A,70,150,33.7,66
2026-06-05 9:30:00,DB001,Jalan Tambang A,65,142,33.4,67
2026-06-05 9:35:00,DB001,Jalan Tambang A,58,130,33,68
2026-06-05 9:40:00,DB001,Jalan Tambang A,50,118,32.7,69
2026-06-05 9:45:00,DB001,Jalan Tambang A,46,108,32.4,70
2026-06-05 9:50:00,DB001,Jalan Tambang A,41,97,32.1,71
2026-06-05 9:55:00,DB001,Jalan Tambang A,38,89,31.9,72
2026-06-05 10:00:00,DB001,Jalan Tambang A,36,84,31.8,72
