waktu,sensor_id,lokasi,co,co2,suhu,kelembaban
2026-06-05 8:00:00,EM001,Bengkel Alat Berat,12,680,33.5,73
2026-06-05 8:05:00,EM001,Bengkel Alat Berat,14,710,34,72
2026-06-05 8:10:00,EM001,Bengkel Alat Berat,17,760,34.4,71
2026-06-05 8:15:00,EM001,Bengkel Alat Berat,21,820,34.8,70
2026-06-05 8:20:00,EM001,Bengkel Alat Berat,24,910,35.2,69
2026-06-05 8:25:00,EM001,Bengkel Alat Berat,22,870,35,69
2026-06-05 8:30:00,EM001,Bengkel Alat Berat,20,830,34.8,70
2026-06-05 8:35:00,EM001,Bengkel Alat Berat,18,790,34.5,70
2026-06-05 8:40:00,EM001,Bengkel Alat Berat,16,750,34.2,71
2026-06-05 8:45:00,EM001,Bengkel Alat Berat,15,720,34,72
2026-06-05 8:50:00,EM001,Bengkel Alat Berat,17,760,34.3,71
2026-06-05 8:55:00,EM001,Bengkel Alat Berat,20,810,34.7,70
2026-06-05 9:00:00,EM001,Bengkel Alat Berat,23,880,35,69
2026-06-05 9:05:00,EM001,Bengkel Alat Berat,27,950,35.4,68
2026-06-05 9:10:00,EM001,Bengkel Alat Berat,31,1020,35.8,67
2026-06-05 9:15:00,EM001,Bengkel Alat Berat,35,1100,36.1,66
2026-06-05 9:20:00,EM001,Bengkel Alat Berat,38,1180,36.4,65
2026-06-05 9:25:00,EM001,Bengkel Alat Berat,34,1120,36,66
2026-06-05 9:30:00,EM001,Bengkel Alat Berat,30,1050,35.6,67
2026-06-05 9:35:00,EM001,Bengkel Alat Berat,26,960,35.2,68
2026-06-05 9:40:00,EM001,Bengkel Alat Berat,22,880,34.8,69
2026-06-05 9:45:00,EM001,Bengkel Alat Berat,19,820,34.5,70
2026-06-05 9:50:00,EM001,Bengkel Alat Berat,16,760,34.1,71
2026-06-05 9:55:00,EM001,Bengkel Alat Berat,14,710,33.9,72
2026-06-05 10:00:00,EM001,Bengkel Alat Berat,13,690,33.8,72
2026-06-05 10:05:00,EM001,Bengkel Alat Berat,16,740,34.1,71
2026-06-05 10:10:00,EM001,Bengkel Alat Berat,20,820,34.5,70
2026-06-05 10:15:00,EM001,Bengkel Alat Berat,25,920,35,69
2026-06-05 10:20:00,EM001,Bengkel Alat Berat,30,1030,35.5,68
2026-06-05 10:25:00,EM001,Bengkel Alat Berat,36,1150,36,67
2026-06-05 10:30:00,EM001,Bengkel Alat Berat,42,1280,36.5,66
2026-06-05 10:35:00,EM001,Bengkel Alat Berat,45,1360,36.8,65
2026-06-05 10:40:00,EM001,Bengkel Alat Berat,40,1250,36.3,66
2026-06-05 10:45:00,EM001,Bengkel Alat Berat,34,1120,35.8,67
2026-06-05 10:50:00,EM001,Bengkel Alat Berat,28,980,35.3,68
2026-06-05 10:55:00,EM001,Bengkel Alat Berat,23,890,34.9,69
2026-06-05 11:00:00,EM001,Bengkel Alat Berat,18,800,34.4,70
