waktu,sensor_id,lokasi,ch4,h2s,suhu,kelembaban
2026-06-05 8:00:00,GS001,Area Dasar Tambang,0.4,2,30.8,78
2026-06-05 8:05:00,GS001,Area Dasar Tambang,0.5,3,31,77
2026-06-05 8:10:00,GS001,Area Dasar Tambang,0.7,4,31.2,77
2026-06-05 8:15:00,GS001,Area Dasar Tambang,0.9,6,31.4,76
2026-06-05 8:20:00,GS001,Area Dasar Tambang,1.1,8,31.6,75
2026-06-05 8:25:00,GS001,Area Dasar Tambang,1,7,31.5,75
2026-06-05 8:30:00,GS001,Area Dasar Tambang,0.9,6,31.4,76
2026-06-05 8:35:00,GS001,Area Dasar Tambang,0.8,5,31.3,76
2026-06-05 8:40:00,GS001,Area Dasar Tambang,0.7,4,31.2,77
2026-06-05 8:45:00,GS001,Area Dasar Tambang,0.6,3,31.1,77
2026-06-05 8:50:00,GS001,Area Dasar Tambang,0.8,5,31.3,76
2026-06-05 8:55:00,GS001,Area Dasar Tambang,1,7,31.5,75
2026-06-05 9:00:00,GS001,Area Dasar Tambang,1.2,9,31.8,74
2026-06-05 9:05:00,GS001,Area Dasar Tambang,1.4,11,32,74
2026-06-05 9:10:00,GS001,Area Dasar Tambang,1.6,13,32.2,73
2026-06-05 9:15:00,GS001,Area Dasar Tambang,1.8,15,32.5,72
2026-06-05 9:20:00,GS001,Area Dasar Tambang,2,18,32.8,71
2026-06-05 9:25:00,GS001,Area Dasar Tambang,1.7,14,32.4,72
2026-06-05 9:30:00,GS001,Area Dasar Tambang,1.5,12,32.2,73
2026-06-05 9:35:00,GS001,Area Dasar Tambang,1.3,10,32,74
2026-06-05 9:40:00,GS001,Area Dasar Tambang,1.1,8,31.8,75
2026-06-05 9:45:00,GS001,Area Dasar Tambang,0.9,6,31.5,76
2026-06-05 9:50:00,GS001,Area Dasar Tambang,0.7,4,31.3,77
2026-06-05 9:55:00,GS001,Area Dasar Tambang,0.6,3,31.1,77
2026-06-05 10:00:00,GS001,Area Dasar Tambang,0.5,2,31,78
2026-06-05 10:05:00,GS001,Area Dasar Tambang,0.7,4,31.2,77
2026-06-05 10:10:00,GS001,Area Dasar Tambang,1,7,31.5,76
2026-06-05 10:15:00,GS001,Area Dasar Tambang,1.3,10,31.9,75
2026-06-05 10:20:00,GS001,Area Dasar Tambang,1.6,13,32.3,74
2026-06-05 10:25:00,GS001,Area Dasar Tambang,1.9,16,32.7,73
2026-06-05 10:30:00,GS001,Area Dasar Tambang,2.2,20,33,72
2026-06-05 10:35:00,GS001,Area Dasar Tambang,2.5,24,33.4,71
2026-06-05 10:40:00,GS001,Area Dasar Tambang,2.1,18,33,72
2026-06-05 10:45:00,GS001,Area Dasar Tambang,1.8,14,32.6,73
2026-06-05 10:50:00,GS001,Area Dasar Tambang,1.4,10,32.2,74
2026-06-05 10:55:00,GS001,Area Dasar Tambang,1,7,31.8,75
2026-06-05 11:00:00,GS001,Area Dasar Tambang,0.8,5,31.5,76
